ticker,event_date,trade_date,mod_amount,award_id,description,mod_number,price_t0,price_t1,stock_return,market_return,excess_return,direction
LMT,1993-10-15,2021-12-17,98523136.96,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A001,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1993-12-03,2021-12-17,1117367299.52,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A002,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1993-12-15,2021-12-17,496894017.95,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A003,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-01-15,2021-12-17,78415035.73,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A004,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-02-15,2021-12-17,48712627.0,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A005,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-03-15,2021-12-17,42865078.0,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A006,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-05-04,2021-12-17,42444084.0,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A007,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-05-15,2021-12-17,28814876.93,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A008,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-06-15,2021-12-17,35295975.26,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A011,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-08-03,2021-12-17,71343681.0,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A012,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
LMT,1994-08-15,2021-12-17,115241881.0,CONT_AWD_DEAC0494AL85000_8900_-NONE-_-NONE-,,A013,307.4231872558594,312.9080810546875,0.01784150976960371,0.03691042791499715,-0.01906891814539344,increase
